# freq	per	pow	amp
 2.5053287037707950E-001	 3.9914922081676951E+000	 1.3702108715572641E+000	 2.7846872636221268E-002
 2.5185494357168148E-001	 3.9705394931641904E+000	 8.6096309751157185E-001	 2.2264358000923259E-002
 2.5317701676628346E-001	 3.9498056054714277E+000	 8.6893452177989230E-002	 7.1749717625416171E-003
 2.5449908996088544E-001	 3.9292871347936544E+000	 1.0806736147540247E-001	 8.0461939822954933E-003
 2.5582116315548742E-001	 3.9089807413321886E+000	 2.4869961415527289E-001	 1.1980678831537554E-002
 2.5714323635008940E-001	 3.8888831539731545E+000	 8.2335449090451401E-002	 6.9312678449182036E-003
 2.5846530954469138E-001	 3.8689911685308371E+000	 1.2660881220939746E-001	 8.4320587785253302E-003
 2.5978738273929336E-001	 3.8493016460446752E+000	 3.0497368634574068E-001	 1.3114840649761990E-002
 2.6110945593389534E-001	 3.8298115111279936E+000	 2.6661903446331686E-001	 1.2363672311098212E-002
 2.6243152912849732E-001	 3.8105177503666439E+000	 2.2908984857092876E-001	 1.1545066278745672E-002
 2.6375360232309930E-001	 3.7914174107658090E+000	 3.1198434791170099E-001	 1.3560471406337335E-002
 2.6507567551770128E-001	 3.7725075982432865E+000	 3.0725096442769190E-001	 1.3396371655412824E-002
 2.6639774871230326E-001	 3.7537854761676379E+000	 4.0523766734463557E-001	 1.5561445951747145E-002
 2.6771982190690524E-001	 3.7352482639396496E+000	 7.3275864668250101E-001	 2.0717311548035654E-002
 2.6904189510150722E-001	 3.7168932356156223E+000	 7.3819962984251675E-001	 2.0712966781481171E-002
 2.7036396829610920E-001	 3.6987177185710474E+000	 2.7121501871255310E-001	 1.2495436483083050E-002
 2.7168604149071118E-001	 3.6807190922033053E+000	 6.5579692230220435E-002	 6.1390435708390369E-003
 2.7300811468531316E-001	 3.6628947866720547E+000	 1.9788194811117824E-002	 3.3740284281785315E-003
 2.7433018787991514E-001	 3.6452422816760452E+000	 3.6023731967001454E-001	 1.4624958596962343E-002
 2.7565226107451712E-001	 3.6277591052651292E+000	 3.3254465623611273E+000	 4.4139856941767017E-002
 2.7697433426911910E-001	 3.6104428326862981E+000	 8.3100062563677533E+000	 6.8357681951395993E-002
 2.7829640746372108E-001	 3.5932910852626105E+000	 1.1115493225159907E+001	 7.9035192996750311E-002
