2460546.4153	4.1			Vis.	CME	BU	37	44	12611AYJ	BIN. 7x50 - HAZE, MOON	No		G				ETA AQL		STD					
2460546.43264	4.4			Vis.	VDIB		4.4	3.4	10 stars training pr	10 stars training program	No		G				eta Aql		STD					
2460546.6167	3.9			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460546.6879	4.1			Vis.	HPAB		40	44	10 star tutorial		No		G				eta Aql		STD					
2460546.73611	4.3			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460547.32639	4.1			Vis.	MOSB	BZ	3.7		AAVSO		No		G				eta aql		STD					
2460547.6573	4.2			Vis.	HPAB		40	44	10 star tutorial		No		G				eta Aql		STD					
2460547.74792	4.3			Vis.	CANG		34	45	X28101EBU	10x42 Bino's	No		G				Eta Aql		STD					
2460548.3812	4.2			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460548.4167	4.4			Vis.	WBOA		4.2	4.5	X15301GE 		No		G				Eta aql		STD					
2460548.4472	3.9			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460548.6	4.0			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460548.6482	4.3			Vis.	HPAB		40	44	10 star tutorial		No		G				eta Aql		STD					
2460548.70417	4.3			Vis.	CANG		34	45	X28101EBU	10x42 Bino's	No		G				Eta Aql		STD					
2460549.31944	3.7			Vis.	MOSB	UZ	3.7		AAVSO		No		G				eta aql		STD					
2460549.3729	4.1			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460549.4382	3.6			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460549.6495	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460550.27083	3.5			Vis.	MOSB		3.4	3.7	AAVSO		No		G				eta aql		STD					
2460550.28264	3.4			Vis.	KSQ		32	34	10STAR		No		G				ETA AQL		STD					
2460550.3645	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460550.4313	3.5			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460550.70625	3.8			Vis.	CANG		34	45	X28101EBU	10x42 Bino's	No		G				Eta Aql		STD					
2460551.31597	3.6			Vis.	MOSB	UZ	3.4	3.7	AAVSO		No		G				eta aql		STD					
2460551.347	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460551.4014	3.6			Vis.	CME	U	34	37	12611AYJ	BIN. 7x50 - HAZE	No		G				ETA AQL		STD					
2460551.4632	3.79			Vis.	DPV		3.71	4.02	OSE2001		No		G				ETA AQL		STD					
2460551.68472	3.9			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460552.2889	3.8			Vis.	SPAO		34	47	X25625YU		No		G				ETA Aql		STD					
2460552.29167	3.7			Vis.	MOSB		3.7	3.4	AAVSO		No		G				eta aql		STD					
2460552.2979	3.9			Vis.	CME	U	37	44	12611AYJ	BIN. 7x50 - LIGHT HAZE	No		G				ETA AQL		STD					
2460552.3784	3.7			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460552.4167	3.7			Vis.	AAX	U	33	37	ATLAS	NEBULSITY	No		G				ETA AQL		STD					
2460552.6097	3.9			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460552.69	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				Eta Aql		STD					
2460552.69583	3.8			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460553.29167	4.0			Vis.	MOSB	B	3.7	4.4	AAVSO		No		G				eta aql		STD					
2460553.29722	3.8			Vis.	KSQ	V	37	44	10STAR		No		G				ETA AQL		STD					
2460553.71389	4.0			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460554.29167	4.2			Vis.	MOSB		3.7	4.4	AAVSO		No		G				eta aql		STD					
2460554.6208	3.9			Vis.	BGZ		37	0	X22749BYO		No		G				ETA AQL		STD					
2460554.68542	4.3			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460554.7022	3.9			Vis.	HPAB		37	40	10 star tutorial		No		G				Eta Aql		STD					
2460555.27361	4.4			Vis.	KSQ	V	44		10STAR		No		G				ETA AQL		STD					
2460555.3763	4.1			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460555.4243	4.0			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460555.60625	4.6			Vis.	SSHA		44	49	10star		No		G				ETA AQL		STD					
2460555.6222	4.1			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460555.68333	4.0			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460555.68333	4.4			Vis.	CANG		34	45	X28101EBU	8x42 Bino's	No		G				Eta Aql		STD					
2460555.6959	4.2			Vis.	HPAB		40	44	10 star tutorial		No		G				Eta Aql		STD					
2460556.29167	4.05			Vis.	MOSB	BUZ	3.7	4.0	AAVSO		No		G				eta aql		STD					
2460556.3791	3.9			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460556.5917	3.8			Vis.	BGZ		37	0	X22749BYO		No		G				ETA AQL		STD					
2460556.60903	4.2			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460556.6499	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				Eta Aql		STD					
2460557.27778	3.6			Vis.	MOSB	UZ	3.4	3.7	AAVSO		No		G				eta aql		STD					
2460557.3618	3.6			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460557.409	3.59			Vis.	DPV		3.36	3.71	OSE2001		No		G				ETA AQL		STD					
